encoder,hf_id,slug,emb_dim,input_dim,hidden_dims,dropout,best_epoch,val_mse,val_rho,test_mse,test_rho,test_pearson,n_test
UTRLM,multimolecule/utrlm-te_el,utrlm-te_el,128,133,256x64,0.1,22,0.6703073382377625,0.5729344621469246,0.4976865351200104,0.6092987246516378,0.6202991287729019,19906
UTRLM_MRL,multimolecule/utrlm-mrl,utrlm-mrl,128,133,256x64,0.1,26,0.7565518021583557,0.48804826272884694,0.5877477526664734,0.49884520939270705,0.5160337691036873,19906
RNAFM,multimolecule/rnafm,rnafm,640,645,256x64,0.1,8,0.7781504988670349,0.46845892105337955,0.6009441614151001,0.4936247103039821,0.5024705329664596,19906
SPLICEBERT,multimolecule/splicebert,splicebert,512,517,256x64,0.1,9,0.7888287305831909,0.45528895786725454,0.6222628951072693,0.4643207382113138,0.47705639614755724,19906
RNABERT,multimolecule/rnabert,rnabert,116,121,256x64,0.1,22,0.8937941789627075,0.3208630871784842,0.722345232963562,0.30281930017233644,0.3120338864170707,19906
